Manufacturer,Permit Number,VIN NUMBER,Annual Total of Disengagements,DEC 2020,JAN 2021,FEB 2021,MAR 2021,APR 2021,MAY 2021,JUN 2021,JULY 2021,AUG 2021,SEP 2021,OCT 2021,NOV 2021,ANNUAL TOTAL,,,,,
WAYMO LLC,AVT003,SADHW2S14M1615593,0,0,0,0,0,0,0,0,240.2,1489.1,2337,2834.8,2596.3,9497.4,,,,,
WAYMO LLC,AVT003,SADHW2S1XM1615727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
WAYMO LLC,AVT003,SADHW2S11M1616359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
WAYMO LLC,AVT003,SADHW2S16M1615711,0,0,0,0,0,0,0,0,378.8,0,0,0,0,378.8,,,,,
WAYMO LLC,AVT003,SADHW2S12M1615849,0,0,0,0,0,0,0,0,233.5,1040.5,201.5,3061.3,2455,6991.8,,,,,
WAYMO LLC,AVT003,SADHW2S16M1615904,0,0,0,0,0,0,0,0,38,908.7,2399.8,1943.9,2635,7925.4,,,,,
WAYMO LLC,AVT003,SADHW2S14M1615996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
WAYMO LLC,AVT003,SADHW2S10M1615879,0,0,0,0,0,0,0,0,308.3,3088.3,2759.2,1054.5,1220.4,8430.7,,,,,
WAYMO LLC,AVT003,SADHW2S18M1616021,0,0,0,0,0,0,0,0,265.2,463.3,513,1904.9,1157.3,4303.7,,,,,
WAYMO LLC,AVT003,SADHW2S12M1615897,0,0,0,0,0,0,0,0,0,2076.1,1982.6,2993,2347.6,9399.3,,,,,
WAYMO LLC,AVT003,SADHW2S10M1615770,1,0,0,0,0,0,0,0,0,319.2,317.1,2101.7,1026.1,3764.1,,,,,
WAYMO LLC,AVT003,SADHW2S10M1615560,0,0,0,0,0,0,0,0,0,737.8,1873.9,2265.5,342.1,5219.3,,,,,
WAYMO LLC,AVT003,SADHW2S16M1615546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
WAYMO LLC,AVT003,SADHW2S19M1615539,0,0,0,0,0,0,0,0,884.1,2750,2751.5,2472.6,2543.8,11402,,,,,
WAYMO LLC,AVT003,SADHW2S18M1615239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
WAYMO LLC,AVT003,SADHW2S11M1616118,2,0,0,0,0,0,0,0,0,123.6,720.8,2034.3,1023.8,3902.5,,,,,
WAYMO LLC,AVT003,SADHW2S18M1615922,1,0,0,0,0,0,0,0,646.3,2352.1,3070.6,2322.8,2585.5,10977.3,,,,,
WAYMO LLC,AVT003,SADHW2S17M1615555,0,0,0,0,0,0,0,0,660,180.7,0,0,0,840.7,,,,,
WAYMO LLC,AVT003,SADHW2S1XM1615243,0,0,0,0,0,0,0,0,3.9,455.3,128.2,1938.2,1971.1,4496.7,,,,,
WAYMO LLC,AVT003,SADHW2S17M1615930,0,0,0,0,0,0,0,0,270,0,0,0,0,270,,,,,
WAYMO LLC,AVT003,SADHW2S19M1615220,0,0,0,0,0,0,0,0,116.3,121.9,0,0,0,238.2,,,,,
WAYMO LLC,AVT003,SADHW2S18M1615919,0,0,0,0,0,0,0,0,0,0,178.1,1590.8,1015.5,2784.4,,,,,
WAYMO LLC,AVT003,SADHW2S1XM1615937,0,0,0,0,0,0,0,0,8.8,0,467.5,1706.5,1781.4,3964.2,,,,,
WAYMO LLC,AVT003,SADHW2S19M1616108,1,0,0,0,0,0,0,0,719.8,2086,2656.5,1636.6,2285.3,9384.2,,,,,
WAYMO LLC,AVT003,SADHW2S16M1615871,0,0,0,0,0,0,0,0,0,731.6,985,0,0,1716.6,,,,,
WAYMO LLC,AVT003,SADHW2S15M1616140,0,0,0,0,0,0,0,0,59.9,607.4,327,1665.4,1584.7,4244.4,,,,,
WAYMO LLC,AVT003,SADHW2S18M1615208,0,0,0,0,0,0,0,0,6.6,1562.6,419.2,2740.5,0,4728.9,,,,,
WAYMO LLC,AVT003,SADHW2S17M1615684,0,0,0,0,0,0,0,0,775,523.6,304.5,569.6,110,2282.7,,,,,
WAYMO LLC,AVT003,SADHW2S10M1615963,0,0,0,0,0,0,0,0,360.9,2416.3,2798.7,2483.1,1125.5,9184.5,,,,,
WAYMO LLC,AVT003,SADHW2S15M1616218,0,0,0,0,0,0,0,0,206,213.7,304.1,2532.4,1707.8,4964,,,,,
WAYMO LLC,AVT003,SADHW2S19M1615914,0,0,0,0,0,0,0,0,0,853.3,2869.1,3077.5,2222.5,9022.4,,,,,
WAYMO LLC,AVT003,SADHW2S12M1616001,0,0,0,0,0,0,0,0,0,0,0,518.4,2649.3,3167.7,,,,,
WAYMO LLC,AVT003,SADHW2S15M1616509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
WAYMO LLC,AVT003,SADHW2S1XM1616232,0,0,0,0,0,0,0,0,0,1179.7,2751.3,3207.1,3323.3,10461.4,,,,,
WAYMO LLC,AVT003,SADHW2S16M1615577,0,0,0,0,0,0,0,0,0,195,410.1,3149.2,2616.8,6371.1,,,,,
WAYMO LLC,AVT003,SADHW2S12M1615947,0,0,0,0,0,0,0,0,0,444.9,313,1934.9,586.8,3279.6,,,,,
WAYMO LLC,AVT003,SADHW2S10M1615977,0,0,0,0,0,0,0,0,0,342.2,0,0,0,342.2,,,,,
WAYMO LLC,AVT003,SADHW2S12M1616015,0,0,0,0,0,0,0,0,0,163.5,37,0,0,200.5,,,,,
WAYMO LLC,AVT003,SADHW2S16M1615742,0,0,0,0,0,0,0,0,0,26.6,0,0,0,26.6,,,,,
WAYMO LLC,AVT003,SADHW2S19M1616786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
WAYMO LLC,AVT003,SADHW2S19M1616805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
WAYMO LLC,AVT003,SADHW2S13M1616668,0,0,0,0,0,0,0,0,0,124.6,0,0,0,124.6,,,,,
WAYMO LLC,AVT003,SADHW2S17M1616740,0,0,0,0,0,0,0,0,0,0,0,103.6,1448.3,1551.9,,,,,
WAYMO LLC,AVT003,SADHW2S12M1616158,0,0,0,0,0,0,0,0,0,636.3,2799.1,2817.4,3344.1,9596.9,,,,,
WAYMO LLC,AVT003,SADHW2S11M1615258,0,0,0,0,0,0,0,0,0,875.5,458.2,2969.1,1833.2,6136,,,,,
WAYMO LLC,AVT003,SADHW2S14M1616680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
WAYMO LLC,AVT003,SADHW2S17M1616656,0,0,0,0,0,0,0,0,0,0,380,727.2,2984.3,4091.5,,,,,
WAYMO LLC,AVT003,SADHW2S12M1616600,0,0,0,0,0,0,0,0,0,275.1,514.2,1352.5,1801.1,3942.9,,,,,
WAYMO LLC,AVT003,SADHW2S12M1616662,0,0,0,0,0,0,0,0,0,771.2,387.3,1658.5,1459.9,4276.9,,,,,
WAYMO LLC,AVT003,SADHW2S11M1616779,0,0,0,0,0,0,0,0,0,0,293.4,376.1,2170.7,2840.2,,,,,
WAYMO LLC,AVT003,SADHW2S11M1616748,0,0,0,0,0,0,0,0,0,0,233.6,1289.4,2659.2,4182.2,,,,,
WAYMO LLC,AVT003,SADHW2S18M1616178,0,0,0,0,0,0,0,0,0,8.7,0,0,0,8.7,,,,,
WAYMO LLC,AVT003,SADHW2S10M1616692,0,0,0,0,0,0,0,0,0,983.9,0,89.7,2410.2,3483.8,,,,,
WAYMO LLC,AVT003,SADHW2S13M1616587,0,0,0,0,0,0,0,0,0,0,200,1425.9,1994.3,3620.2,,,,,
WAYMO LLC,AVT003,SADHW2S16M1615790,2,0,0,0,0,0,0,0,0,0,251.8,1552.9,798.5,2603.2,,,,,
WAYMO LLC,AVT003,SADHW2S11M1616698,0,0,0,0,0,0,0,0,0,0,400.3,1382,449.3,2231.6,,,,,
WAYMO LLC,AVT003,SADHW2S1XM1616733,0,0,0,0,0,0,0,0,0,0,503.2,1563.4,2667.1,4733.7,,,,,
WAYMO LLC,AVT003,SADHW2S10M1616644,1,0,0,0,0,0,0,0,0,0,409.4,1132.2,3008.6,4550.2,,,,,
WAYMO LLC,AVT003,SADHW2S15M1616638,0,0,0,0,0,0,0,0,0,0,435.1,1031.2,494.6,1960.9,,,,,
WAYMO LLC,AVT003,SADHW2S19M1616755,0,0,0,0,0,0,0,0,0,0,80.2,1752.3,3128.7,4961.2,,,,,
WAYMO LLC,AVT003,SADHW2S15M1616719,0,0,0,0,0,0,0,0,0,0,100.2,1745.1,1172.4,3017.7,,,,,
WAYMO LLC,AVT003,SADHW2S14M1616565,0,0,0,0,0,0,0,0,0,0,231.3,1536.5,1095.5,2863.3,,,,,
